YEAR,MONTH,DAY,ORIGIN,ID,COUNTRY,REGION,DEPARTMENT_OF_ENERGY,LATITUDE,LONGITUDE,DEPTH,YIELD_1,YEILD_2,PURPOSE,NAME,TYPE;
45,07,16, 123000.0, 45001, USA, ALAMOGORDO, DOE, 32.540, -105.570, -0.100, 21.0, 21.0, WR, TRINITY, TOWER ;
45,08,05, 231500.0, 45002, USA, HIROSHIMA, DOE, 34.230, 132.270, -0.600, 15.0, 15.0, COMBAT, LITTLEBOY, AIRDROP ;
45,08,09, 15800.0, 45003, USA, NAGASAKI, DOE, 32.450, 129.520, -0.600, 21.0, 21.0, COMBAT, FATMAN, AIRDROP ;
46,06,30, 220100.0, 46001, USA, BIKINI, DOE, 11.350, 165.200, -0.200, 21.0, 21.0, WE, ABLE, AIRDROP ;
46,07,24, 213500.0, 46002, USA, BIKINI, DOE, 11.350, 165.200, 0.030, 21.0, 21.0, WE, BAKER, UW ;
48,04,14, 181700.0, 48001, USA, ENEWETAK, DOE, 11.300, 162.150, -0.080, 37.0, 37.0, WR, X, TOWER ;
48,04,30, 180900.0, 48002, USA, ENEWETAK, DOE, 11.300, 162.150, -0.080, 49.0, 49.0, WR, YOKE, TOWER ;
48,05,14, 180400.0, 48003, USA, ENEWETAK, DOE, 11.300, 162.150, -0.080, 18.0, 18.0, WR, ZEBRA, TOWER ;
49,08,29, 12000.0, 49001, USSR, SEMI, KAZAKH,  48.000, 76.000, 0.000, 22.0, 22.0, WR, SURFACE, AIRDROP ;
51,01,27, 134500.0, 51001, USA, NTS, DOE, 37.000, -116.000, -0.350, 1.0, 1.0, WR, ABLE, AIRDROP ;
51,01,28, 135200.0, 51002, USA, NTS, DOE, 37.000, -116.000, -0.350, 8.0, 8.0, WR, BAKER, AIRDROP ;
51,02,01, 134700.0, 51003, USA, NTS, DOE, 37.000, -116.000, -0.350, 1.0, 1.0, WR, EASY, AIRDROP ;
51,02,02, 134900.0, 51004, USA, NTS, DOE, 37.000, -116.000, -0.400, 8.0, 8.0, WR, BAKER, AIRDROP ;
51,02,06, 134700.0, 51005, USA, NTS, DOE, 37.000, -116.000, -0.500, 22.0, 22.0, WR, FOX, AIRDROP ;
51,04,07, 183400.0, 51006, USA, ENEWETAK, DOE, 11.300, 162.150, -0.100, 81.0, 81.0, WR, DOG, TOWER ;
51,04,20, 182700.0, 51007, USA, ENEWETAK, DOE, 11.300, 162.150, -0.100, 47.0, 47.0, WR, EASY, TOWER ;
51,05,08, 213000.0, 51008, USA, ENEWETAK, DOE, 11.300, 162.150, -0.070, 225.0, 225.0, WR, GEORGE, TOWER ;
51,05,24, 181700.0, 51009, USA, ENEWETAK, DOE, 11.300, 162.150, -0.070, 45.5, 45.5, WR, ITEM, TOWER ;
51,09,24, 0.0, 51010, USSR, SEMI, KAZAKH,  48.000, 76.000, 0.000, 38.0, 38.0, WR, SURFACE, TOWER ;
51,10,18, 0.0, 51011, USSR, SEMI, KAZAKH,  48.000, 76.000, 0.000, 42.0, 42.0, WR, AIRDROP, TOWER ;
51,10,22, 140000.0, 51012, USA, NTS, DOE, 37.000, -116.000, -0.030, 0.0, 0.1, WR, ABLE, TOWER ;
51,10,28, 152000.0, 51013, USA, NTS, DOE, 37.000, -116.000, -0.400, 3.5, 3.5, WR, BAKER, AIRDROP ;
51,10,30, 150000.0, 51014, USA, NTS, DOE, 37.000, -116.000, -0.400, 14.0, 14.0, WR, CHARLIE, AIRDROP ;
51,11,01, 153000.0, 51015, USA, NTS, DOE, 37.000, -116.000, -0.500, 21.0, 21.0, WR, DOG, AIRDROP ;
51,11,05, 163000.0, 51016, USA, NTS, DOE, 37.000, -116.000, -0.450, 31.0, 31.0, WR, EASY, AIRDROP ;
51,11,19, 170000.0, 51017, USA, NTS, DOE, 37.000, -116.000, -0.001, 1.2, 1.2, WE, SUGAR, SURFACE ;
51,11,29, 200000.0, 51018, USA, NTS, DOE, 37.000, -116.000, 0.010, 1.2, 1.2, WE, UNCLE, CRATER ;
52,04,01, 170000.0, 52001, USA, NTS, DOE, 37.000, -116.000, -0.250, 1.0, 1.0, WE, ABLE, AIRDROP ;
52,04,15, 173000.0, 52002, USA, NTS, DOE, 37.000, -116.000, -0.350, 1.0, 1.0, WE, BAKER, AIRDROP ;
52,04,22, 173000.0, 52003, USA, NTS, DOE, 37.000, -116.000, -1.150, 31.0, 31.0, WR, CHARLIE, AIRDROP ;
52,05,01, 163000.0, 52004, USA, NTS, DOE, 37.000, -116.000, -0.350, 19.0, 19.0, WR, DOG, AIRDROP ;
52,05,07, 121500.0, 52005, USA, NTS, DOE, 37.000, -116.000, -0.100, 12.0, 12.0, WR, EASY, TOWER ;
52,05,25, 120000.0, 52006, USA, NTS, DOE, 37.000, -116.000, -0.100, 11.0, 11.0, WR, FOX, TOWER ;
52,06,01, 115500.0, 52007, USA, NTS, DOE, 37.000, -116.000, -0.100, 15.0, 15.0, WR, GEORGE, TOWER ;
52,06,05, 115500.0, 52008, USA, NTS, DOE, 37.000, -116.000, -0.100, 14.0, 14.0, WR, HOW, TOWER ;
